UserID:101, From:Vanak, To:Tajrish, Path:Vanak->Tajrish, TravelTime:15
UserID:102, From:Tajrish, To:Niavaran, Path:Tajrish->Niavaran, TravelTime:20
UserID:103, From:Vanak, To:Mirdamad, Path:Vanak->Mirdamad, TravelTime:7
UserID:104, From:Mirdamad, To:Shariati, Path:Mirdamad->Shariati, TravelTime:10
UserID:105, From:Shariati, To:Enghelab, Path:Shariati->Enghelab, TravelTime:25
UserID:106, From:Enghelab, To:Azadi, Path:Enghelab->Azadi, TravelTime:12
UserID:107, From:Azadi, To:Tehranpars, Path:Azadi->Tehranpars, TravelTime:40
UserID:108, From:Tehranpars, To:Punak, Path:Tehranpars->Punak, TravelTime:20
UserID:109, From:Punak, To:Vanak, Path:Punak->Vanak, TravelTime:15
UserID:110, From:Niavaran, To:Elahiyeh, Path:Niavaran->Mirdamad->Vanak->Elahiyeh, TravelTime:35
UserID:110, From:Azadi, To:Punak, Path:Azadi->Vanak->Punak, TravelTime:35
UserID:101, From:Vanak, To:Tajrish, Path:Vanak->Tajrish, TravelTime:15
UserID:102, From:Tajrish, To:Niavaran, Path:Tajrish->Niavaran, TravelTime:20
UserID:103, From:Vanak, To:Mirdamad, Path:Vanak->Mirdamad, TravelTime:7
UserID:104, From:Mirdamad, To:Shariati, Path:Mirdamad->Shariati, TravelTime:10
UserID:105, From:Shariati, To:Enghelab, Path:Shariati->Enghelab, TravelTime:25
UserID:106, From:Enghelab, To:Azadi, Path:Enghelab->Azadi, TravelTime:12
UserID:107, From:Azadi, To:Tehranpars, Path:Azadi->Tehranpars, TravelTime:40
UserID:108, From:Tehranpars, To:Punak, Path:Tehranpars->Punak, TravelTime:20
UserID:109, From:Punak, To:Vanak, Path:Punak->Vanak, TravelTime:15
UserID:110, From:Niavaran, To:Elahiyeh, Path:Niavaran->Elahiyeh, TravelTime:35
UserID:110, From:Azadi, To:Punak, Path:Azadi->Punak, TravelTime:35
UserID:101, From:Vanak, To:Tajrish, Path:Vanak->Tajrish, TravelTime:15
UserID:102, From:Tajrish, To:Niavaran, Path:Tajrish->Niavaran, TravelTime:20
UserID:103, From:Vanak, To:Mirdamad, Path:Vanak->Mirdamad, TravelTime:7
UserID:104, From:Mirdamad, To:Shariati, Path:Mirdamad->Shariati, TravelTime:10
UserID:105, From:Shariati, To:Enghelab, Path:Shariati->Enghelab, TravelTime:25
UserID:106, From:Enghelab, To:Azadi, Path:Enghelab->Azadi, TravelTime:12
UserID:107, From:Azadi, To:Tehranpars, Path:Azadi->Tehranpars, TravelTime:40
UserID:108, From:Tehranpars, To:Punak, Path:Tehranpars->Punak, TravelTime:20
UserID:109, From:Punak, To:Vanak, Path:Punak->Vanak, TravelTime:15
UserID:110, From:Niavaran, To:Elahiyeh, Path:Niavaran->Elahiyeh, TravelTime:35
UserID:110, From:Azadi, To:Punak, Path:Azadi->Punak, TravelTime:35
UserID:101, From:Vanak, To:Tajrish, Path:Vanak->Tajrish, TravelTime:15
UserID:102, From:Tajrish, To:Niavaran, Path:Tajrish->Niavaran, TravelTime:20
UserID:103, From:Vanak, To:Mirdamad, Path:Vanak->Mirdamad, TravelTime:7
UserID:104, From:Mirdamad, To:Shariati, Path:Mirdamad->Shariati, TravelTime:10
UserID:105, From:Shariati, To:Enghelab, Path:Shariati->Enghelab, TravelTime:25
UserID:106, From:Enghelab, To:Azadi, Path:Enghelab->Azadi, TravelTime:12
UserID:107, From:Azadi, To:Tehranpars, Path:Azadi->Tehranpars, TravelTime:40
UserID:108, From:Tehranpars, To:Punak, Path:Tehranpars->Punak, TravelTime:20
UserID:109, From:Punak, To:Vanak, Path:Punak->Vanak, TravelTime:15
UserID:110, From:Niavaran, To:Elahiyeh, Path:Niavaran->Elahiyeh, TravelTime:35
UserID:110, From:Azadi, To:Punak, Path:Azadi->Punak, TravelTime:35
UserID:101, From:Vanak, To:Tajrish, Path:Vanak->Tajrish, TravelTime:15
UserID:102, From:Tajrish, To:Niavaran, Path:Tajrish->Niavaran, TravelTime:20
UserID:103, From:Vanak, To:Mirdamad, Path:Vanak->Mirdamad, TravelTime:7
UserID:104, From:Mirdamad, To:Shariati, Path:Mirdamad->Shariati, TravelTime:10
UserID:105, From:Shariati, To:Enghelab, Path:Shariati->Enghelab, TravelTime:25
UserID:106, From:Enghelab, To:Azadi, Path:Enghelab->Azadi, TravelTime:12
UserID:107, From:Azadi, To:Tehranpars, Path:Azadi->Tehranpars, TravelTime:40
UserID:108, From:Tehranpars, To:Punak, Path:Tehranpars->Punak, TravelTime:20
UserID:109, From:Punak, To:Vanak, Path:Punak->Vanak, TravelTime:15
UserID:110, From:Niavaran, To:Elahiyeh, Path:Niavaran->Elahiyeh, TravelTime:35
UserID:110, From:Azadi, To:Punak, Path:Azadi->Punak, TravelTime:35
